source_qualified_name,source_name,source_type,relationship,target_qualified_name,target_name,target_type
CTL-CAP-2,Capital Adequacy Reporting,Control,CONTROL_EVIDENCED_BY,EVD-CTL-CAP-2-EV-AUDIT,Fabric Audit Log,Evidence
EVD-CTL-CAP-2-EV-AUDIT,Fabric Audit Log,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-FABRIC,Microsoft Fabric,Technology
CTL-DQ-1,Data Quality Rules & Monitoring,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-LAKE,Data Lakehouse (Fabric),System
CTL-DQ-1,Data Quality Rules & Monitoring,Control,CONTROL_REALIZES_CAPABILITY,CAP-DQ,Data Quality,Capability
CTL-DQ-1,Data Quality Rules & Monitoring,Control,CONTROL_EVIDENCED_BY,EVD-CTL-DQ-1-EV-DQ,Data Quality Dashboard,Evidence
EVD-CTL-DQ-1-EV-DQ,Data Quality Dashboard,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-FABRIC,Microsoft Fabric,Technology
CTL-DQ-1,Data Quality Rules & Monitoring,Control,CONTROL_EVIDENCED_BY,EVD-CTL-DQ-1-EV-CLASS,Data Classification Report,Evidence
EVD-CTL-DQ-1-EV-CLASS,Data Classification Report,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-PURVIEW,Microsoft Purview,Technology
CTL-DQ-2,Critical Data Element Catalog,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-LAKE,Data Lakehouse (Fabric),System
CTL-DQ-2,Critical Data Element Catalog,Control,CONTROL_REALIZES_CAPABILITY,CAP-DQ,Data Quality,Capability
CTL-DQ-2,Critical Data Element Catalog,Control,CONTROL_EVIDENCED_BY,EVD-CTL-DQ-2-EV-DQ,Data Quality Dashboard,Evidence
EVD-CTL-DQ-2-EV-DQ,Data Quality Dashboard,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-FABRIC,Microsoft Fabric,Technology
CTL-DQ-2,Critical Data Element Catalog,Control,CONTROL_EVIDENCED_BY,EVD-CTL-DQ-2-EV-CLASS,Data Classification Report,Evidence
EVD-CTL-DQ-2-EV-CLASS,Data Classification Report,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-PURVIEW,Microsoft Purview,Technology
CTL-LIN-1,End-to-End Data Lineage,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-LAKE,Data Lakehouse (Fabric),System
CTL-LIN-1,End-to-End Data Lineage,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-REGRPT,Regulatory Reporting,System
CTL-LIN-1,End-to-End Data Lineage,Control,CONTROL_REALIZES_CAPABILITY,CAP-LIN,Data Lineage,Capability
CTL-LIN-1,End-to-End Data Lineage,Control,CONTROL_EVIDENCED_BY,EVD-CTL-LIN-1-EV-LINEAGE,Purview Lineage Graph,Evidence
EVD-CTL-LIN-1-EV-LINEAGE,Purview Lineage Graph,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-PURVIEW,Microsoft Purview,Technology
CTL-LIN-1,End-to-End Data Lineage,Control,CONTROL_EVIDENCED_BY,EVD-CTL-LIN-1-EV-AUDIT,Fabric Audit Log,Evidence
EVD-CTL-LIN-1-EV-AUDIT,Fabric Audit Log,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-FABRIC,Microsoft Fabric,Technology
CTL-LIN-2,Reconciliation & Aggregation Controls,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-REGRPT,Regulatory Reporting,System
CTL-LIN-2,Reconciliation & Aggregation Controls,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-GL,General Ledger / Finance,System
CTL-LIN-2,Reconciliation & Aggregation Controls,Control,CONTROL_REALIZES_CAPABILITY,CAP-LIN,Data Lineage,Capability
CTL-LIN-2,Reconciliation & Aggregation Controls,Control,CONTROL_EVIDENCED_BY,EVD-CTL-LIN-2-EV-LINEAGE,Purview Lineage Graph,Evidence
EVD-CTL-LIN-2-EV-LINEAGE,Purview Lineage Graph,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-PURVIEW,Microsoft Purview,Technology
CTL-LIN-2,Reconciliation & Aggregation Controls,Control,CONTROL_EVIDENCED_BY,EVD-CTL-LIN-2-EV-AUDIT,Fabric Audit Log,Evidence
EVD-CTL-LIN-2-EV-AUDIT,Fabric Audit Log,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-FABRIC,Microsoft Fabric,Technology
CTL-MD-1,Enterprise Data Catalog,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-LAKE,Data Lakehouse (Fabric),System
CTL-MD-1,Enterprise Data Catalog,Control,CONTROL_REALIZES_CAPABILITY,CAP-MDM,Metadata & Catalog,Capability
CTL-MD-1,Enterprise Data Catalog,Control,CONTROL_EVIDENCED_BY,EVD-CTL-MD-1-EV-CLASS,Data Classification Report,Evidence
EVD-CTL-MD-1-EV-CLASS,Data Classification Report,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-PURVIEW,Microsoft Purview,Technology
CTL-MD-1,Enterprise Data Catalog,Control,CONTROL_EVIDENCED_BY,EVD-CTL-MD-1-EV-LINEAGE,Purview Lineage Graph,Evidence
EVD-CTL-MD-1-EV-LINEAGE,Purview Lineage Graph,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-PURVIEW,Microsoft Purview,Technology
CTL-MD-2,Business Glossary,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-LAKE,Data Lakehouse (Fabric),System
CTL-MD-2,Business Glossary,Control,CONTROL_REALIZES_CAPABILITY,CAP-MDM,Metadata & Catalog,Capability
CTL-MD-2,Business Glossary,Control,CONTROL_EVIDENCED_BY,EVD-CTL-MD-2-EV-CLASS,Data Classification Report,Evidence
EVD-CTL-MD-2-EV-CLASS,Data Classification Report,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-PURVIEW,Microsoft Purview,Technology
CTL-MD-2,Business Glossary,Control,CONTROL_EVIDENCED_BY,EVD-CTL-MD-2-EV-LINEAGE,Purview Lineage Graph,Evidence
EVD-CTL-MD-2-EV-LINEAGE,Purview Lineage Graph,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-PURVIEW,Microsoft Purview,Technology
CTL-RT-1,Retention Schedule Enforcement,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-LAKE,Data Lakehouse (Fabric),System
CTL-RT-1,Retention Schedule Enforcement,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-CORE,Core Banking Platform,System
CTL-RT-1,Retention Schedule Enforcement,Control,CONTROL_REALIZES_CAPABILITY,CAP-RET,Data Retention,Capability
CTL-RT-1,Retention Schedule Enforcement,Control,CONTROL_EVIDENCED_BY,EVD-CTL-RT-1-EV-RETENTION,Retention Policy Attestation,Evidence
EVD-CTL-RT-1-EV-RETENTION,Retention Policy Attestation,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-PURVIEW,Microsoft Purview,Technology
CTL-PR-1,Consent & Lawful Basis Management,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-CRM,CRM,System
CTL-PR-1,Consent & Lawful Basis Management,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-IAM,Identity & Access Mgmt,System
CTL-PR-1,Consent & Lawful Basis Management,Control,CONTROL_REALIZES_CAPABILITY,CAP-PII,PII Protection,Capability
CTL-PR-1,Consent & Lawful Basis Management,Control,CONTROL_EVIDENCED_BY,EVD-CTL-PR-1-EV-CLASS,Data Classification Report,Evidence
EVD-CTL-PR-1-EV-CLASS,Data Classification Report,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-PURVIEW,Microsoft Purview,Technology
CTL-PR-1,Consent & Lawful Basis Management,Control,CONTROL_EVIDENCED_BY,EVD-CTL-PR-1-EV-DLP,DLP Policy Attestation,Evidence
EVD-CTL-PR-1-EV-DLP,DLP Policy Attestation,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-DEFENDER,Microsoft Defender/Sentinel,Technology
CTL-PR-2,Data Subject Rights (DSAR),Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-CRM,CRM,System
CTL-PR-2,Data Subject Rights (DSAR),Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-CORE,Core Banking Platform,System
CTL-PR-2,Data Subject Rights (DSAR),Control,CONTROL_REALIZES_CAPABILITY,CAP-PII,PII Protection,Capability
CTL-PR-2,Data Subject Rights (DSAR),Control,CONTROL_EVIDENCED_BY,EVD-CTL-PR-2-EV-CLASS,Data Classification Report,Evidence
EVD-CTL-PR-2-EV-CLASS,Data Classification Report,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-PURVIEW,Microsoft Purview,Technology
CTL-PR-2,Data Subject Rights (DSAR),Control,CONTROL_EVIDENCED_BY,EVD-CTL-PR-2-EV-DLP,DLP Policy Attestation,Evidence
EVD-CTL-PR-2-EV-DLP,DLP Policy Attestation,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-DEFENDER,Microsoft Defender/Sentinel,Technology
CTL-PR-3,Personal Data Breach Management,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-IAM,Identity & Access Mgmt,System
CTL-PR-3,Personal Data Breach Management,Control,CONTROL_REALIZES_CAPABILITY,CAP-PII,PII Protection,Capability
CTL-PR-3,Personal Data Breach Management,Control,CONTROL_EVIDENCED_BY,EVD-CTL-PR-3-EV-CLASS,Data Classification Report,Evidence
EVD-CTL-PR-3-EV-CLASS,Data Classification Report,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-PURVIEW,Microsoft Purview,Technology
CTL-PR-3,Personal Data Breach Management,Control,CONTROL_EVIDENCED_BY,EVD-CTL-PR-3-EV-DLP,DLP Policy Attestation,Evidence
EVD-CTL-PR-3-EV-DLP,DLP Policy Attestation,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-DEFENDER,Microsoft Defender/Sentinel,Technology
CTL-SCA-1,Multi-Factor Authentication,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-IAM,Identity & Access Mgmt,System
CTL-SCA-1,Multi-Factor Authentication,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-PAY,Payment Gateway,System
CTL-SCA-1,Multi-Factor Authentication,Control,CONTROL_REALIZES_CAPABILITY,CAP-AUTH,Strong Authentication,Capability
CTL-SCA-1,Multi-Factor Authentication,Control,CONTROL_EVIDENCED_BY,EVD-CTL-SCA-1-EV-ACCESS,Access Review,Evidence
EVD-CTL-SCA-1-EV-ACCESS,Access Review,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-ENTRA,Microsoft Entra ID,Technology
CTL-SCA-1,Multi-Factor Authentication,Control,CONTROL_EVIDENCED_BY,EVD-CTL-SCA-1-EV-AUDIT,Fabric Audit Log,Evidence
EVD-CTL-SCA-1-EV-AUDIT,Fabric Audit Log,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-FABRIC,Microsoft Fabric,Technology
CTL-SCA-2,Transaction Risk Analysis (TRA),Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-PAY,Payment Gateway,System
CTL-SCA-2,Transaction Risk Analysis (TRA),Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-TM,Transaction Monitoring,System
CTL-SCA-2,Transaction Risk Analysis (TRA),Control,CONTROL_REALIZES_CAPABILITY,CAP-AUTH,Strong Authentication,Capability
CTL-SCA-2,Transaction Risk Analysis (TRA),Control,CONTROL_EVIDENCED_BY,EVD-CTL-SCA-2-EV-ACCESS,Access Review,Evidence
EVD-CTL-SCA-2-EV-ACCESS,Access Review,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-ENTRA,Microsoft Entra ID,Technology
CTL-SCA-2,Transaction Risk Analysis (TRA),Control,CONTROL_EVIDENCED_BY,EVD-CTL-SCA-2-EV-AUDIT,Fabric Audit Log,Evidence
EVD-CTL-SCA-2-EV-AUDIT,Fabric Audit Log,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-FABRIC,Microsoft Fabric,Technology
CTL-CO-1,Product Approval & Target Market,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-CRM,CRM,System
CTL-CO-1,Product Approval & Target Market,Control,CONTROL_REALIZES_CAPABILITY,CAP-COND,Conduct & Fair Value,Capability
CTL-CO-1,Product Approval & Target Market,Control,CONTROL_EVIDENCED_BY,EVD-CTL-CO-1-EV-AUDIT,Fabric Audit Log,Evidence
EVD-CTL-CO-1-EV-AUDIT,Fabric Audit Log,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-FABRIC,Microsoft Fabric,Technology
CTL-CO-2,Fair Value Assessment,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-LAKE,Data Lakehouse (Fabric),System
CTL-CO-2,Fair Value Assessment,Control,CONTROL_REALIZES_CAPABILITY,CAP-COND,Conduct & Fair Value,Capability
CTL-CO-2,Fair Value Assessment,Control,CONTROL_EVIDENCED_BY,EVD-CTL-CO-2-EV-AUDIT,Fabric Audit Log,Evidence
EVD-CTL-CO-2-EV-AUDIT,Fabric Audit Log,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-FABRIC,Microsoft Fabric,Technology
CTL-CO-3,Customer Outcomes Monitoring,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-LAKE,Data Lakehouse (Fabric),System
CTL-CO-3,Customer Outcomes Monitoring,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-CRM,CRM,System
CTL-CO-3,Customer Outcomes Monitoring,Control,CONTROL_REALIZES_CAPABILITY,CAP-COND,Conduct & Fair Value,Capability
CTL-CO-3,Customer Outcomes Monitoring,Control,CONTROL_EVIDENCED_BY,EVD-CTL-CO-3-EV-AUDIT,Fabric Audit Log,Evidence
EVD-CTL-CO-3-EV-AUDIT,Fabric Audit Log,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-FABRIC,Microsoft Fabric,Technology
CTL-MR-1,Model Inventory & Versioning,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-AIP,AI / ML Platform,System
CTL-MR-1,Model Inventory & Versioning,Control,CONTROL_REALIZES_CAPABILITY,CAP-MRM,Model Risk Management,Capability
CTL-MR-1,Model Inventory & Versioning,Control,CONTROL_EVIDENCED_BY,EVD-CTL-MR-1-EV-MODELCARD,Model Card,Evidence
EVD-CTL-MR-1-EV-MODELCARD,Model Card,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-FOUNDRY,Azure AI Foundry,Technology
CTL-MR-1,Model Inventory & Versioning,Control,CONTROL_EVIDENCED_BY,EVD-CTL-MR-1-EV-MONITOR,Model Monitoring Report,Evidence
EVD-CTL-MR-1-EV-MONITOR,Model Monitoring Report,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-FOUNDRY,Azure AI Foundry,Technology
CTL-MR-2,Model Validation & Backtesting,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-AIP,AI / ML Platform,System
CTL-MR-2,Model Validation & Backtesting,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-CREDIT,Credit Risk Engine,System
CTL-MR-2,Model Validation & Backtesting,Control,CONTROL_REALIZES_CAPABILITY,CAP-MRM,Model Risk Management,Capability
CTL-MR-2,Model Validation & Backtesting,Control,CONTROL_EVIDENCED_BY,EVD-CTL-MR-2-EV-MODELCARD,Model Card,Evidence
EVD-CTL-MR-2-EV-MODELCARD,Model Card,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-FOUNDRY,Azure AI Foundry,Technology
CTL-MR-2,Model Validation & Backtesting,Control,CONTROL_EVIDENCED_BY,EVD-CTL-MR-2-EV-MONITOR,Model Monitoring Report,Evidence
EVD-CTL-MR-2-EV-MONITOR,Model Monitoring Report,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-FOUNDRY,Azure AI Foundry,Technology
CTL-MR-3,Model Performance Monitoring,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-AIP,AI / ML Platform,System
CTL-MR-3,Model Performance Monitoring,Control,CONTROL_REALIZES_CAPABILITY,CAP-MRM,Model Risk Management,Capability
CTL-MR-3,Model Performance Monitoring,Control,CONTROL_EVIDENCED_BY,EVD-CTL-MR-3-EV-MODELCARD,Model Card,Evidence
EVD-CTL-MR-3-EV-MODELCARD,Model Card,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-FOUNDRY,Azure AI Foundry,Technology
CTL-MR-3,Model Performance Monitoring,Control,CONTROL_EVIDENCED_BY,EVD-CTL-MR-3-EV-MONITOR,Model Monitoring Report,Evidence
EVD-CTL-MR-3-EV-MONITOR,Model Monitoring Report,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-FOUNDRY,Azure AI Foundry,Technology
CTL-AI-1,AI System Risk Classification,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-AIP,AI / ML Platform,System
CTL-AI-1,AI System Risk Classification,Control,CONTROL_REALIZES_CAPABILITY,CAP-AIG,AI Governance,Capability
CTL-AI-1,AI System Risk Classification,Control,CONTROL_EVIDENCED_BY,EVD-CTL-AI-1-EV-AGENTEVAL,Agent Evaluation Report,Evidence
EVD-CTL-AI-1-EV-AGENTEVAL,Agent Evaluation Report,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-FOUNDRY,Azure AI Foundry,Technology
CTL-AI-1,AI System Risk Classification,Control,CONTROL_EVIDENCED_BY,EVD-CTL-AI-1-EV-MODELCARD,Model Card,Evidence
EVD-CTL-AI-1-EV-MODELCARD,Model Card,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-FOUNDRY,Azure AI Foundry,Technology
CTL-AI-2,Human Oversight & Approval,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-AIP,AI / ML Platform,System
CTL-AI-2,Human Oversight & Approval,Control,CONTROL_REALIZES_CAPABILITY,CAP-AIG,AI Governance,Capability
CTL-AI-2,Human Oversight & Approval,Control,CONTROL_EVIDENCED_BY,EVD-CTL-AI-2-EV-AGENTEVAL,Agent Evaluation Report,Evidence
EVD-CTL-AI-2-EV-AGENTEVAL,Agent Evaluation Report,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-FOUNDRY,Azure AI Foundry,Technology
CTL-AI-2,Human Oversight & Approval,Control,CONTROL_EVIDENCED_BY,EVD-CTL-AI-2-EV-MODELCARD,Model Card,Evidence
EVD-CTL-AI-2-EV-MODELCARD,Model Card,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-FOUNDRY,Azure AI Foundry,Technology
CTL-AI-3,Bias & Fairness Testing,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-AIP,AI / ML Platform,System
CTL-AI-3,Bias & Fairness Testing,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-LAKE,Data Lakehouse (Fabric),System
CTL-AI-3,Bias & Fairness Testing,Control,CONTROL_REALIZES_CAPABILITY,CAP-AIG,AI Governance,Capability
CTL-AI-3,Bias & Fairness Testing,Control,CONTROL_EVIDENCED_BY,EVD-CTL-AI-3-EV-AGENTEVAL,Agent Evaluation Report,Evidence
EVD-CTL-AI-3-EV-AGENTEVAL,Agent Evaluation Report,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-FOUNDRY,Azure AI Foundry,Technology
CTL-AI-3,Bias & Fairness Testing,Control,CONTROL_EVIDENCED_BY,EVD-CTL-AI-3-EV-MODELCARD,Model Card,Evidence
EVD-CTL-AI-3-EV-MODELCARD,Model Card,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-FOUNDRY,Azure AI Foundry,Technology
CTL-TD-1,Training Data Governance,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-AIP,AI / ML Platform,System
CTL-TD-1,Training Data Governance,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-LAKE,Data Lakehouse (Fabric),System
CTL-TD-1,Training Data Governance,Control,CONTROL_REALIZES_CAPABILITY,CAP-TDQ,Training Data Quality,Capability
CTL-TD-1,Training Data Governance,Control,CONTROL_EVIDENCED_BY,EVD-CTL-TD-1-EV-DQ,Data Quality Dashboard,Evidence
EVD-CTL-TD-1-EV-DQ,Data Quality Dashboard,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-FABRIC,Microsoft Fabric,Technology
CTL-TD-1,Training Data Governance,Control,CONTROL_EVIDENCED_BY,EVD-CTL-TD-1-EV-LINEAGE,Purview Lineage Graph,Evidence
EVD-CTL-TD-1-EV-LINEAGE,Purview Lineage Graph,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-PURVIEW,Microsoft Purview,Technology
CTL-TD-2,Dataset Documentation & Provenance,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-AIP,AI / ML Platform,System
CTL-TD-2,Dataset Documentation & Provenance,Control,CONTROL_REALIZES_CAPABILITY,CAP-TDQ,Training Data Quality,Capability
CTL-TD-2,Dataset Documentation & Provenance,Control,CONTROL_EVIDENCED_BY,EVD-CTL-TD-2-EV-DQ,Data Quality Dashboard,Evidence
EVD-CTL-TD-2-EV-DQ,Data Quality Dashboard,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-FABRIC,Microsoft Fabric,Technology
CTL-TD-2,Dataset Documentation & Provenance,Control,CONTROL_EVIDENCED_BY,EVD-CTL-TD-2-EV-LINEAGE,Purview Lineage Graph,Evidence
EVD-CTL-TD-2-EV-LINEAGE,Purview Lineage Graph,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-PURVIEW,Microsoft Purview,Technology
CTL-TR-1,Decision Logging & Traceability,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-AIP,AI / ML Platform,System
CTL-TR-1,Decision Logging & Traceability,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-LAKE,Data Lakehouse (Fabric),System
CTL-TR-1,Decision Logging & Traceability,Control,CONTROL_REALIZES_CAPABILITY,CAP-TRACE,Traceability & Explainability,Capability
CTL-TR-1,Decision Logging & Traceability,Control,CONTROL_EVIDENCED_BY,EVD-CTL-TR-1-EV-MODELCARD,Model Card,Evidence
EVD-CTL-TR-1-EV-MODELCARD,Model Card,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-FOUNDRY,Azure AI Foundry,Technology
CTL-TR-1,Decision Logging & Traceability,Control,CONTROL_EVIDENCED_BY,EVD-CTL-TR-1-EV-AUDIT,Fabric Audit Log,Evidence
EVD-CTL-TR-1-EV-AUDIT,Fabric Audit Log,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-FABRIC,Microsoft Fabric,Technology
CTL-TR-2,Model Explainability Reporting,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-AIP,AI / ML Platform,System
CTL-TR-2,Model Explainability Reporting,Control,CONTROL_REALIZES_CAPABILITY,CAP-TRACE,Traceability & Explainability,Capability
CTL-TR-2,Model Explainability Reporting,Control,CONTROL_EVIDENCED_BY,EVD-CTL-TR-2-EV-MODELCARD,Model Card,Evidence
EVD-CTL-TR-2-EV-MODELCARD,Model Card,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-FOUNDRY,Azure AI Foundry,Technology
CTL-TR-2,Model Explainability Reporting,Control,CONTROL_EVIDENCED_BY,EVD-CTL-TR-2-EV-AUDIT,Fabric Audit Log,Evidence
EVD-CTL-TR-2-EV-AUDIT,Fabric Audit Log,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-FABRIC,Microsoft Fabric,Technology
CTL-AU-1,Immutable Audit Trail,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-LAKE,Data Lakehouse (Fabric),System
CTL-AU-1,Immutable Audit Trail,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-IAM,Identity & Access Mgmt,System
CTL-AU-1,Immutable Audit Trail,Control,CONTROL_REALIZES_CAPABILITY,CAP-AUD,Auditability & Evidence,Capability
CTL-AU-1,Immutable Audit Trail,Control,CONTROL_EVIDENCED_BY,EVD-CTL-AU-1-EV-AUDIT,Fabric Audit Log,Evidence
EVD-CTL-AU-1-EV-AUDIT,Fabric Audit Log,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-FABRIC,Microsoft Fabric,Technology
CTL-AU-2,Evidence Repository,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-LAKE,Data Lakehouse (Fabric),System
CTL-AU-2,Evidence Repository,Control,CONTROL_REALIZES_CAPABILITY,CAP-AUD,Auditability & Evidence,Capability
CTL-AU-2,Evidence Repository,Control,CONTROL_EVIDENCED_BY,EVD-CTL-AU-2-EV-AUDIT,Fabric Audit Log,Evidence
EVD-CTL-AU-2-EV-AUDIT,Fabric Audit Log,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-FABRIC,Microsoft Fabric,Technology
CTL-RP-1,Regulatory Report Production,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-REGRPT,Regulatory Reporting,System
CTL-RP-1,Regulatory Report Production,Control,CONTROL_REALIZES_CAPABILITY,CAP-REP,Regulatory Reporting,Capability
CTL-RP-1,Regulatory Report Production,Control,CONTROL_EVIDENCED_BY,EVD-CTL-RP-1-EV-AUDIT,Fabric Audit Log,Evidence
EVD-CTL-RP-1-EV-AUDIT,Fabric Audit Log,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-FABRIC,Microsoft Fabric,Technology
CTL-RP-1,Regulatory Report Production,Control,CONTROL_EVIDENCED_BY,EVD-CTL-RP-1-EV-CAPREC,Capital Calc Reconciliation,Evidence
EVD-CTL-RP-1-EV-CAPREC,Capital Calc Reconciliation,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-FABRIC,Microsoft Fabric,Technology
CTL-RP-2,Report Review & Sign-off,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-REGRPT,Regulatory Reporting,System
CTL-RP-2,Report Review & Sign-off,Control,CONTROL_IMPLEMENTED_IN_SYSTEM,SYS-GL,General Ledger / Finance,System
CTL-RP-2,Report Review & Sign-off,Control,CONTROL_REALIZES_CAPABILITY,CAP-REP,Regulatory Reporting,Capability
CTL-RP-2,Report Review & Sign-off,Control,CONTROL_EVIDENCED_BY,EVD-CTL-RP-2-EV-AUDIT,Fabric Audit Log,Evidence
EVD-CTL-RP-2-EV-AUDIT,Fabric Audit Log,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-FABRIC,Microsoft Fabric,Technology
CTL-RP-2,Report Review & Sign-off,Control,CONTROL_EVIDENCED_BY,EVD-CTL-RP-2-EV-CAPREC,Capital Calc Reconciliation,Evidence
EVD-CTL-RP-2-EV-CAPREC,Capital Calc Reconciliation,Evidence,EVIDENCE_PRODUCED_BY_TECHNOLOGY,TEC-FABRIC,Microsoft Fabric,Technology
CHG-EUAIACT,CHG-EUAIACT,RegulatoryChange,CHANGE_OF_REGULATION,REG-AIACT,EU AI Act,Regulation
OBL-EUAIACT-01,OBL-EUAIACT-01,Obligation,OBLIGATION_REQUIRES_CONTROL,CTL-TD-1,Training Data Governance,Control
